774,-4.8365412
774,-4.8365412
774.1,-4.83993151
774.2,-4.84332182
774.3,-4.84671213
774.4,-4.85010244
774.5,-4.85349275
774.6,-4.85688306
774.7,-4.86027337
774.8,-4.86366368
774.9,-4.86705399
775,-4.8704443
775,-4.8704443
775.1,-4.87385893
775.2,-4.87727356
775.3,-4.88068819
775.4,-4.88410282
775.5,-4.88751745
775.6,-4.89093208
775.7,-4.89434671
775.8,-4.89776134
775.9,-4.90117597
776,-4.9045906
776,-4.9045906
776.1,-4.90803179
776.2,-4.91147298
776.3,-4.91491417
776.4,-4.91835536
776.5,-4.92179655
776.6,-4.92523774
776.7,-4.92867893
776.8,-4.93212012
776.9,-4.93556131
777,-4.9390025
777,-4.9390025
777.1,-4.94246825
777.2,-4.945934
777.3,-4.94939975
777.4,-4.9528655
777.5,-4.95633125
777.6,-4.959797
777.7,-4.96326275
777.8,-4.9667285
777.9,-4.97019425
778,-4.97366
778,-4.97366
778.1,-4.97715536
778.2,-4.98065072
778.3,-4.98414608
778.4,-4.98764144
778.5,-4.9911368
778.6,-4.99463216
778.7,-4.99812752
778.8,-5.00162288
778.9,-5.00511824
779,-5.0086136
779,-5.0086136
779.1,-5.012139
779.2,-5.0156644
779.3,-5.0191898
779.4,-5.0227152
779.5,-5.0262406
779.6,-5.029766
779.7,-5.0332914
779.8,-5.0368168
779.9,-5.0403422
780,-5.0438676
780,-5.0438676
780.1,-5.04742623
780.2,-5.05098486
780.3,-5.05454349
780.4,-5.05810212
780.5,-5.06166075
780.6,-5.06521938
780.7,-5.06877801
780.8,-5.07233664
780.9,-5.07589527
781,-5.0794539
781,-5.0794539
781.1,-5.08304482
781.2,-5.08663574
781.3,-5.09022666
781.4,-5.09381758
781.5,-5.0974085
781.6,-5.10099942
781.7,-5.10459034
781.8,-5.10818126
781.9,-5.11177218
782,-5.1153631
782,-5.1153631
782.1,-5.11898907
782.2,-5.12261504
782.3,-5.12624101
782.4,-5.12986698
782.5,-5.13349295
