"Phi [deg]","dB(RealizedGainPhi) [] - Freq='3.607GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='4.682GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='5.5GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='6.5GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='7.644GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='8.925GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='9.531GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='10.5GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='11.824GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='13GHz' Theta='0deg'"
36,-0.764110249385026,-0.350800232942737,-0.0990458874362263,0.0430547528095093,0.674534448396529,0.194422183955603,0.0846848079156731,-3.24227721495667,0.978791672154731,1.43322028737594
37,-0.876270620865404,-0.462960062859837,-0.207650225292405,-0.0680192530165203,0.562234194719189,0.0900248962392501,-0.0233445164171184,-3.3321939941731,0.864957356565135,1.32136714949144
38,-0.992579336617199,-0.579267571595673,-0.320309438429573,-0.183212724670956,0.445782368786794,-0.0183129016025845,-0.135411548422625,-3.42559096988665,0.746929816380494,1.20541134700739
39,-1.11314902222955,-0.699835329637051,-0.437130103913154,-0.30263641324624,0.325066144503411,-0.130690350951994,-0.251621723039838,-3.52253790050742,0.624593505762788,1.08524389587393
40,-1.23809965901655,-0.824783256794922,-0.558225695317211,-0.426408282166601,0.199965326361485,-0.247212915496918,-0.372087278653051,-3.62310852583942,0.49782529846747,0.960748858761932
41,-1.36755915481952,-0.954239192177463,-0.683717106290292,-0.554654063159264,0.0703517773506271,-0.367992845213619,-0.496927770641749,-3.72738079238454,0.366493893703245,0.831802825154792
42,-1.50166397448332,-1.0883395237095,-0.813733227973162,-0.687507870059567,-0.0639112129487172,-0.493149686782299,-0.626270637482429,-3.8354370959371,0.230459159407424,0.698274339439359
43,-1.64055983750569,-1.22722988467469,-0.948411586905339,-0.825112877674877,-0.202969627604092,-0.62281084596645,-0.760251825838042,-3.94736454281913,0.089571405002034,0.560023270829158
44,-1.78440249149001,-1.3710659258835,-1.08789905104011,-0.967622074015788,-0.346979497553537,-0.757112208277038,-0.899016482017086,-4.06325523120783,-0.0563294255112734,0.416900118086471
45,-1.93335857136141,-1.52001417339447,-1.23235261263946,-1.11519909547592,-0.496107762796092,-0.896198825164667,-1.04271971829266,-4.1832065541094,-0.207414650680595,0.268745241003967
46,-2.08760655587548,-1.67425298327802,-1.38194025817526,-1.26801915604195,-0.650533231107108,-1.04022567406036,-1.19152746387344,-4.30732152563623,-0.363867851199597,0.115388009435958
47,-2.24733783480616,-1.83397360676129,-1.53684193696187,-1.42627008338989,-0.810447647697055,-1.18935850184996,-1.34561741185317,-4.43570913234453,-0.525885986202351,-0.0433541406963677
48,-2.4127579024066,-1.99938138128879,-1.69725064213894,-1.59015347682988,-0.976056891444377,-1.34377476285454,-1.50518007528001,-4.56848471148128,-0.693680642858696,-0.207676756598705
49,-2.58408769536903,-2.17069706565275,-1.86337361987405,-1.75988600457141,-1.14758231597143,-1.50366466414527,-1.67041996764145,-4.70577035806858,-0.867479438701443,-0.37778953704217
50,-2.76156509666297,-2.34815834048306,-2.03543372534067,-1.93570086078292,-1.32526225699177,-1.66923233310172,-1.84155692562726,-4.84769536281055,-1.04752759951137,-0.553917636294439
51,-2.94544663042151,-2.53202149915679,-2.21367094724453,-2.11784940652585,-1.50935373115631,-1.84069712459594,-2.0188275951034,-4.99439668283206,-1.23408973967514,-0.736303122386641
52,-3.13600937762542,-2.7225633587393,-2.3983441265431,-2.30660302299324,-1.70013435621399,-2.0182950881369,-2.20248710491727,-5.14601944723504,-1.42745187687929,-0.925206611626152
53,-3.33355314789048,-2.9200834260911,-2.58973289968019,-2.50225521075497,-1.89790452786987,-2.20228061884654,-2.39281095760326,-5.30271749936509,-1.62792371901866,-1.12090910489964
54,-3.53840294943851,-3.12490636100482,-2.78813990233704,-2.70512397513031,-2.10298989551016,-2.39292832039365,-2.59009717144689,-5.46465397749195,-1.8358412685465,-1.32371405562738
55,-3.75091180763389,-3.337384786481,-2.99389327662793,-2.91555454566371,-2.31574418727992,-2.5905351131523,-2.79466871492738,-5.63200193528434,-2.05156979851732,-1.53394970437058
56,-3.97146399269495,-3.55790250640454,-3.20734953316188,-3.13392248734206,-2.53655244524279,-2.79542262709,-3.00687628258539,-5.80494500295143,-2.27550726571576,-1.75197172122938
57,-4.20047872986037,-3.78687820345658,-3.42889682986035,-3.36063727314408,-2.76583474404157,-3.00793992649627,-3.22710147123385,-5.98367808916368,-2.50808824010083,-1.97816620451039
58,-4.43841448108195,-4.02476970575851,-3.65895874239854,-3.5961464023837,-3.00405048229054,-3.22846662298124,-3.45576042763597,-6.16840812276238,-2.74978844708005,-2.21295309294122
59,-4.68577390711869,-4.27207893037679,-3.89799861731974,-3.84094016792608,-3.25170335575642,-3.45741644464877,-3.69330805395367,-6.35935483169809,-3.00113004086274,-2.45679005927436
60,-4.94310964390765,-4.52935763658695,-4.14652461917972,-4.09555719881451,-3.50934714640946,-3.69524134355617,-3.94024287626301,-6.55675155443773,-3.26268775465464,-2.71017696582082
61,-5.21103105887184,-4.79721415326683,-4.40509560872993,-4.36059093461193,-3.77759249323361,-3.94243624126154,-4.1971127053499,-6.76084607602569,-3.53509610853716,-2.97366097772402
62,-5.49021219353707,-5.07632128507406,-4.67432802178455,-4.63669722580739,-4.0571148514158,-4.199544534414,-4.46452124932314,-6.97190147677353,-3.81905790094916,-3.24784244813788
63,-5.78140115139305,-5.36742565403534,-4.95490396024789,-4.92460330364959,-4.34866389910775,-4.46716451026242,-4.74313587630487,-7.19019697577915,-4.1153542680763,-3.53338171149093
64,-6.08543125837732,-5.67135880079507,-5.24758076082922,-5.22511842643588,-4.6530747193864,-4.7459568573754,-5.03369677528935,-7.41602874358342,-4.4248566717498,-3.83100694732857
65,-6.40323441329293,-5.98905045853992,-5.55320237740788,-5.53914659272599,-4.97128117492534,-5.03665350210286,-5.33702782790679,-7.64971064750989,-4.74854127708554,-4.14152330844964
66,-6.735857164794,-6.32154453027865,-5.87271300564006,-5.86770182235652,-5.30433201209834,-5.34006805951118,-5.65404958842826,-7.89157487857314,-5.08750631515327,-4.46582354368324
67,-7.08448021155611,-6.67001845773288,-6.20717350140978,-6.21192665371961,-5.65341039098701,-5.65710826297841,-5.98579488108632,-8.14197238888624,-5.44299320648711,-4.80490038780783
68,-7.45044223917124,-7.03580688348683,-6.55778130980929,-6.57311470524708,-6.01985775424774,-5.98879083524889,-6.33342767284261,-8.40127304133445,-5.81641246717337,-5.15986103808537
69,-7.83526930503757,-7.42043080050893,-6.92589484539898,-6.95273842187718,-6.40520324472142,-6.33625939372154,-6.69826608069578,-8.66986533629619,-6.20937575850357,-5.53194408624294
70,-8.24071139657604,-7.82563378924031,-7.31306357235779,-7.3524835052922,-6.81120029429489,-6.70080615559429,-7.08181064668098,-8.94815552980645,-6.62373591559388,-5.92253932071343
71,-8.66878837227264,-8.25342751429677,-7.72106546177466,-7.77429205782846,-7.23987258813229,-7.08389844051147,-7.48577939208557,-9.23656588888303,-7.06163746371046,-6.33321084438222
72,-9.12184833221068,-8.70614947061428,-8.15195410880056,-8.22041722766494,-7.6935724410023,-7.48721128289808,-7.9121516918025,-9.53553173610491,-7.52558110234573,-6.76572394374525
73,-9.60264268527966,-9.18653715822019,-8.60811866119969,-8.69349324209522,-8.17505583476202,-7.91266789693813,-8.36322376120317,-9.84549680789593,-8.01850706341281,-7.22207604929377
74,-10.1144239936709,-9.69782462690127,-9.09236097926902,-9.19662633989329,-8.68758016459294,-8.3624903333999,-8.84167963143739,-10.1669062771318,-8.54390438602728,-7.70453185422275
75,-10.6610754266787,-10.2438699966494,-9.6079963344979,-9.73351456307136,-9.23503346544062,-8.83926350175562,-9.35068307831071,-10.5001965544366,-9.10595642002848,-8.21566203784683
76,-11.2472849289894,-10.8293266817868,-10.1589868225501,-10.3086081463022,-9.82210811116212,-9.34601691096051,-9.89399834481349,-10.8457806627101,-9.7097379986678,-8.75838374396685
