"Theta [deg]","dB(RealizedGainPhi) [] - Freq='3.607GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='4.682GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='5.5GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='6.5GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='7.644GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='8.925GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='9.531GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='10.5GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='11.824GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='13GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='13.93GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='14.5GHz' Phi='0deg'"
96,0.901357396951058,1.17523817752693,1.06735815168577,0.931062140212869,1.54684165337167,0.538280573877387,0.662133266726553,-3.8835510449107,-2.42665652237779,-5.87794382734031,-10.2161988116883,-13.0856076824101
97,0.902736722243523,1.17836741556091,1.07340277482388,0.941133825479422,1.56380173248923,0.558794952877941,0.675665042773838,-3.86798537715578,-2.40853310650003,-5.85624136114594,-10.3261091237359,-13.1792602146265
98,0.904246109489999,1.1817394717775,1.07993126348167,0.951935861860669,1.5816363389381,0.579980990670964,0.688907010141714,-3.85256886778641,-2.3884718026337,-5.83163491900506,-10.4506878777742,-13.2884052723576
99,0.905884141770856,1.18535134138128,1.08693486384501,0.96346725589478,1.60031947547406,0.601915291537141,0.701939124622439,-3.83723232761357,-2.36632383295241,-5.80383023905087,-10.5893712685806,-13.4141289946954
100,0.907649233606618,1.18919970432993,1.09440381494893,0.975726910417438,1.61982342534842,0.624679950642511,0.714851704809918,-3.8219086428104,-2.34190643349495,-5.77255864758811,-10.7413079085545,-13.5576152043174
101,0.909539632211948,1.19328094868734,1.10232739137501,0.988713566518105,1.64011918871791,0.648361423752339,0.727746483410921,-3.80653446023882,-2.315002009382,-5.73759386235066,-10.9052776241271,-13.7201136447482
102,0.91155341891537,1.19759119564763,1.11069395175049,1.00242572991333,1.66117695457373,0.673049172359729,0.740737520555387,-3.79105158590899,-2.28535906809035,-5.6987651049878,-11.0796010143564,-13.9028920342833
103,0.913688510754686,1.20212632585938,1.11949099318964,1.01686157991503,1.68296660157681,0.698834071972688,0.753951889637564,-3.77540795699189,-2.25269536381254,-5.65596507583995,-11.2620440220177,-14.1071658348865
104,0.915942662258785,1.20688200664504,1.12870521174989,1.03201885949142,1.7054582195895,0.725806582565847,0.767530040795301,-3.75955805205812,-2.21670361037126,-5.60915157414386,-11.44972528962,-14.3339975261379
105,0.918313467427149,1.21185371967918,1.13832256888771,1.04789474536209,1.72862264201171,0.75405469395237,0.781625745092229,-3.74346261773516,-2.17705999443632,-5.55834193155416,-11.6390388425811,-14.5841544784674
106,0.920798361918596,1.21703678866114,1.14832836379217,1.06448569763321,1.75243197733261,0.783661674607805,0.796405524987515,-3.72708761383604,-2.13343554063535,-5.50359995127729,-11.8256102913399,-14.8579113300962
107,0.923394625461161,1.22242640649418,1.15870731134936,1.08178728915669,1.77686012668144,0.814703669595965,0.812047484981916,-3.71040231376207,-2.0855101469493,-5.44501567641094,-12.0043100980139,-15.1547795910461
108,0.926099384495174,1.22801766146554,1.16944362535187,1.09979401557786,1.80188327269724,0.847247210795139,0.828739471565864,-3.6933765425131,-2.03298883211684,-5.38267900417691,-12.1693501813265,-15.4731454323844
109,0.92890961506149,1.23380556191029,1.18052110641572,1.118499087901,1.82748032383873,0.881346719491203,0.846676514691485,-3.6759770900948,-1.97561943630943,-5.31664886706902,-12.3144867621097,-15.8097994621101
110,0.931822145946645,1.23978505883873,1.19192323390797,1.1378942103279,1.85363329742805,0.917042096333127,0.866057534460471,-3.65816340182578,-1.91321072231608,-5.24692036676919,-12.4333391642835,-16.1593560283445
111,0.934833662096422,1.2459510660125,1.20363326102501,1.15796934708425,1.8803276243724,0.954356505308446,0.887081336458329,-3.63988271648715,-1.84564957588548,-5.1733928222789,-12.5198095332498,-16.5135948587336
112,0.937940708308653,1.25229847696951,1.21563431199953,1.178712482906,1.90755235873552,0.99329446549582,0.909941966227853,-3.62106489499044,-1.77291584387039,-5.0958421274169,-12.5685554211624,-16.860828740891
113,0.941139693215531,1.25882217852443,1.22790948025912,1.20010938277786,1.93530027623165,1.03384036574468,0.934823545805494,-3.60161725186501,-1.69509331755348,-5.01390104156695,-12.5754362512401,-17.1855167880074
114,0.944426893564546,1.26551706030824,1.24044192621569,1.22214335735487,1.96356784736157,1.07595751224212,0.961894769965367,-3.58141976397807,-1.6123754945433,-4.92705098114813,-12.5378410041701,-17.4684844749919
